Date: 2005.01.01    Station: 46692      Time: 00Z      Levels: 48
  Lat:   25.03   Lon:   121.52   npts:          88
Pres(hPa) Hgt(m)  Temp(c)  Dwpt(c)  Relh(%) Dir(deg)  Spd(knot)
   243.7  10900   -43.17   -40.70     40    306     52.00
   236.6  11100   -43.71   -40.70     40    305     52.08
   229.8  11300   -44.69   -40.70     40    305     52.44
   223.0  11500   -45.67   -40.70     40    304     52.80
   216.2  11700   -46.65   -40.70     40    303     53.16
   209.6  11900   -47.98   -40.70     40    302     53.27
   203.4  12100   -49.99   -40.70     40    301     52.91
   197.5  12300   -51.76   -40.70     40    300     52.44
   191.8  12500   -53.24   -40.70     40    299     51.84
   186.2  12700   -54.72   -40.70     40    299     51.25
   180.5  12900   -56.20   -40.70     40    298     50.66
   174.9  13100   -57.68   -40.70     40    297     50.07
   169.2  13300   -59.16   -40.70     40    297     49.47
   163.5  13500   -60.64   -40.70     40    296     48.88
   158.1  13700   -62.21   -40.70     40    295     48.01
   153.1  13900   -63.94   -40.70     40    295     46.64
   148.3  14100   -65.23   -40.70     40    295     45.74
   144.0  14300   -65.83   -40.70     40    295     45.59
   139.6  14500   -66.42   -40.70     40    295     45.43
   135.3  14700   -67.02   -40.70     40    295     45.28
   131.0  14900   -67.62   -40.70     40    295     45.12
   126.6  15100   -68.21   -40.70     40    295     44.97
   122.3  15300   -68.81   -40.70     40    295     44.81
   118.0  15500   -69.40   -40.70     40    295     44.66
   113.6  15700   -70.00   -40.70     40    295     44.50
   109.5  15900   -71.00   -40.70     40    295     44.12
   105.9  16100   -72.83   -40.70     40    295     43.27
   102.2  16300   -74.67   -40.70     40    295     42.42
    98.7  16500   -76.23   -40.70     40    296     41.12
    95.3  16700   -77.30   -40.70     40    296     39.08
    92.1  16900   -77.24   -40.70     40    296     36.65
    89.3  17100   -76.86   -40.70     40    296     33.91
    86.5  17300   -76.48   -40.70     40    296     31.17
    83.6  17500   -76.11   -40.70     40    296     28.42
    80.8  17700   -75.73   -40.70     40    296     25.68
    78.0  17900   -75.35   -40.70     40    296     22.94
    75.2  18100   -74.98   -40.70     40    296     20.20
    72.4  18300   -74.12   -40.70     40    295     17.98
    69.9  18500   -72.07   -40.70     40    294     17.16
    67.6  18700   -71.59   -40.70     40    293     16.50
    65.3  18900   -71.10   -40.70     40    292     15.85
    63.1  19100   -70.55   -40.70     40    291     15.19
    61.2  19300   -69.69   -40.70     40    291     14.55
    59.4  19500   -68.83   -40.70     40    290     13.92
    57.5  19700   -67.97   -40.70     40    290     13.28
    55.6  19900   -67.11   -40.70     40    289     12.64
    53.8  20100   -66.25   -40.70     40    289     12.00
    51.9  20300   -65.39   -40.70     40    288     11.36
    50.1  20500   -64.53   -40.70     40    288     10.73
    48.5  20700   -63.01   -40.70     40    289     11.14
    47.0  20900   -61.45   -40.70     40    290     11.60
    45.4  21100   -59.70   -40.70     40    292     11.89
    44.2  21300   -59.47   -40.70     40    294     11.17
    42.9  21500   -59.28   -40.70     40    296     10.42
    41.6  21700   -59.09   -40.70     40    298      9.68
    40.3  21900   -58.90   -40.70     40    299      8.93
    39.0  22100   -58.70   -40.70     40    301      8.18
    37.7  22300   -58.51   -40.70     40    303      7.44
    36.5  22500   -58.32   -40.70     40    305      6.69
    35.3  22700   -57.86   -40.70     40    310      5.43
    34.2  22900   -57.11   -40.70     40    318      3.60
    33.1  23100   -56.36   -40.70     40    247      2.54
    32.1  23300   -55.62   -40.70     40    115      2.08
    31.1  23500   -54.83   -40.70     40     73      2.58
    30.1  23700   -54.00   -40.70     40     88      3.66
    29.3  23900   -51.64   -40.70     40     96      4.02
    28.5  24100   -51.47   -40.70     40     99      4.05
    27.8  24300   -51.31   -40.70     40    102      4.08
    27.0  24500   -51.14   -40.70     40    106      4.11
    26.3  24700   -50.97   -40.70     40    109      4.14
    25.5  24900   -50.81   -40.70     40    112      4.18
    24.7  25100   -50.64   -40.70     40    116      4.21
    24.0  25300   -50.47   -40.70     40    119      4.24
    23.2  25500   -50.31   -40.70     40    122      4.27
    22.5  25700   -50.14   -40.70     40    126      4.30
    21.7  25900   -49.97   -40.70     40    129      4.33
    20.9  26100   -49.81   -40.70     40    132      4.36
    20.2  26300   -49.64   -40.70     40    136      4.39
    19.6  26500   -49.54   -40.70     40    141      4.03
    19.0  26700   -49.45   -40.70     40    148      3.66
    18.4  26900   -49.29   -40.70     40    155      3.43
    17.9  27100   -48.99   -40.70     40    162      3.24
    17.4  27300   -48.70   -40.70     40    169      3.05
    16.9  27500   -48.40   -40.70     40    176      2.85
    16.4  27700   -48.10   -40.70     40    184      2.66
    15.9  27900   -47.81   -40.70     40    191      2.47
    15.4  28100   -47.51   -40.70     40    198      2.28
    14.9  28300   -47.19   -40.70     40    204      2.12
    14.4  28500   -46.55   -40.70     40    199      2.38
    13.9  28700   -45.91   -40.70     40    193      2.65
    13.4  28900   -45.27   -40.70     40    187      2.92
    13.0  29100   -44.81   -40.70     40    183      3.11
    12.6  29300   -44.44   -40.70     40    180      3.26
    12.3  29500   -44.07   -40.70     40    177      3.42
    12.0  29700   -43.69   -40.70     40    173      3.57
    11.7  29900   -43.32   -40.70     40    170      3.73
Date: 2005.01.02    Station: 46692      Time: 12Z      Levels: 73
  Lat:   25.03   Lon:   121.52   npts:         153
Pres(hPa) Hgt(m)  Temp(c)  Dwpt(c)  Relh(%) Dir(deg)  Spd(knot)
   961.9    500    11.73     5.99     67    130      9.06
   939.2    700    10.58     4.80     67    139      8.82
   916.8    900     9.31     3.48     66    143      8.00
   895.0   1100     8.36     2.48     66    140      6.19
   873.6   1300     7.44     1.88     67    132      3.75
   852.6   1500     5.89     1.81     75    170      4.58
   831.9   1700     6.65    -3.55     48    244      7.89
   811.9   1900     5.68    -5.60     44    260     10.12
   791.8   2100     4.34    -4.96     52    238     11.78
   772.8   2300     3.04    -4.34     59    251     11.20
   753.3   2500     1.90    -3.57     67    276      9.89
   735.8   2700     1.76    -3.16     69    282     10.24
   717.8   2900     0.76    -4.32     68    289     10.56
   700.0   3100    -0.50    -4.90     72    298     10.80
   682.8   3300     2.41   -12.70     31    305     10.91
   666.2   3500     2.83   -13.74     28    309     11.38
   650.3   3700     2.99   -14.06     27    312     11.94
   635.7   3900     2.64   -13.94     28    314     12.70
   621.0   4100     2.29   -13.82     29    316     13.45
   606.3   4300     1.93   -13.69     30    319     14.22
   588.6   4500     0.67   -13.40     34    318     15.36
   574.7   4700    -0.79   -14.49     34    318     17.17
   560.9   4900    -2.25   -15.58     35    317     18.98
   547.0   5100    -3.71   -16.67     35    317     20.80
   533.2   5300    -5.16   -17.76     36    317     22.61
   519.3   5500    -6.62   -18.85     37    316     24.42
   505.5   5700    -8.08   -19.94     37    316     26.23
   492.6   5900    -8.74   -21.23     35    315     28.38
   480.1   6100    -9.65   -22.30     34    314     30.55
   467.6   6300   -10.57   -23.36     34    314     32.72
   456.0   6500   -12.14   -24.80     34    313     34.53
   444.3   6700   -13.74   -26.26     34    312     36.33
   432.7   6900   -15.34   -27.71     34    311     38.12
   421.1   7100   -16.94   -29.17     34    311     39.91
   410.2   7300   -18.13   -30.20     34    311     41.08
   399.0   7500   -20.72   -32.45     33    311     41.97
   388.4   7700   -21.72   -33.76     32    311     42.61
   378.1   7900   -21.79   -34.06     32    311     43.09
   367.9   8100   -21.86   -34.36     31    311     43.56
   358.1   8300   -22.47   -35.01     31    312     43.98
   348.8   8500   -23.58   -36.00     31    313     44.32
   339.4   8700   -24.69   -37.00     31    313     44.67
   330.0   8900   -25.80   -37.99     31    314     45.02
   320.8   9100   -27.05   -39.11     31    315     45.42
   312.1   9300   -28.95   -40.81     31    315     46.07
   303.3   9500   -30.85   -42.51     31    315     46.71
   295.1   9700   -31.98   -43.11     31    316     47.28
   287.1   9900   -32.59   -43.14     31    316     47.73
   279.1  10100   -33.21   -43.16     31    316     48.19
   271.1  10300   -33.82   -43.19     31    316     48.65
   263.3  10500   -34.77   -43.22     31    315     48.76
   255.7  10700   -36.14   -43.28     31    315     48.44
   248.1  10900   -39.73   -43.40     31    313     47.72
   241.4  11100   -41.28   -43.42     31    312     46.71
   234.7  11300   -42.82   -43.43     31    311     45.70
   227.9  11500   -44.36   -43.45     31    309     44.69
   221.2  11700   -45.91   -43.46     31    308     43.67
   214.5  11900   -47.45   -43.47     31    307     42.66
   207.8  12100   -49.00   -43.49     31    306     41.65
   201.1  12300   -50.53   -43.55     31    304     40.71
   195.4  12500   -52.11   -43.61     31    303     40.37
   189.9  12700   -53.71   -43.62     31    302     40.10
   184.4  12900   -55.30   -43.63     31    302     39.82
   178.9  13100   -56.89   -43.64     31    301     39.54
   173.3  13300   -58.48   -43.65     31    301     39.27
   167.8  13500   -60.07   -43.66     31    300     38.99
   162.3  13700   -61.67   -43.68     31    300     38.71
   156.7  13900   -63.26   -43.69     31    299     38.44
   151.2  14100   -64.85   -43.70     31    299     38.16
   146.7  14300   -66.13   -43.71     31    299     37.85
   142.4  14500   -67.33   -43.72     31    299     37.52
   138.2  14700   -68.53   -43.73     31    299     37.20
   133.9  14900   -69.73   -43.73     31    300     36.87
   129.7  15100   -70.92   -43.74     31    300     36.55
   125.4  15300   -72.12   -43.75     31    300     36.23
   121.2  15500   -73.32   -43.76     31    300     35.90
   116.9  15700   -74.52   -43.77     31    301     35.58
   112.7  15900   -75.72   -43.78     31    301     35.25
   108.4  16100   -76.91   -43.79     31    301     34.93
   104.2  16300   -78.11   -43.80     31    301     34.61
   100.4  16500   -78.50   -43.89     31    302     33.90
    96.9  16700   -78.65   -43.96     31    304     32.83
    93.7  16900   -78.87   -44.11     31    304     31.36
    90.8  17100   -78.50   -44.12     31    304     29.29
    87.8  17300   -78.14   -44.13     31    303     27.23
    84.9  17500   -77.77   -44.15     31    303     25.16
    81.9  17700   -77.40   -44.16     31    302     23.10
    78.9  17900   -77.04   -44.18     31    301     21.03
    76.0  18100   -76.67   -44.19     31    301     18.97
    73.3  18300   -75.76   -44.23     31    299     17.20
    70.8  18500   -74.36   -44.28     31    297     15.69
    68.6  18700   -73.31   -44.41     31    295     14.45
    66.3  18900   -73.02   -44.47     31    293     13.75
    64.0  19100   -72.49   -44.56     31    291     13.24
    61.8  19300   -71.76   -44.64     31    290     13.09
    59.7  19500   -71.10   -44.69     31    289     12.94
    57.8  19700   -69.75   -44.71     31    288     12.61
    56.0  19900   -68.12   -44.73     31    288     12.19
    54.2  20100   -66.49   -44.75     31    287     11.77
    52.4  20300   -64.87   -44.77     31    287     11.35
    50.6  20500   -63.24   -44.79     31    287     10.94
    49.0  20700   -62.11   -44.82     31    286     10.40
    47.5  20900   -61.22   -44.84     31    284      9.80
    46.0  21100   -60.34   -44.86     31    283      9.21
    44.5  21300   -59.46   -44.89     31    281      8.61
    43.1  21500   -58.92   -44.91     31    281      8.09
    41.8  21700   -58.75   -44.92     31    281      7.67
    40.6  21900   -58.58   -44.94     31    281      7.24
    39.3  22100   -58.42   -44.95     31    281      6.82
    38.0  22300   -58.25   -44.97     31    281      6.39
    36.8  22500   -58.08   -44.98     31    281      5.96
    35.5  22700   -57.92   -45.00     31    281      5.54
    34.4  22900   -57.77   -45.04     31    282      4.93
    33.4  23100   -57.64   -45.08     31    283      4.30
